User ID,Name,Total,Hunt,Purchase, ,L1 (Hunt),L2 (Hunt),L3 (Hunt),L4 (Hunt),L5 (Hunt), ,L1 (Purchase),L2 (Purchase),L3 (Purchase),L4 (Purchase),L5 (Purchase), ,Points (Hunt),Goal Percentage (Hunt), ,Points (Purchase),Goal Percentage (Purchase), ,First Hunt Time,Last Hunt Time
0,Total,2547,2512,35,,0,2311,195,6,0,,23,12,0,0,0,,0,0%,,0,0%,,2022/04/04 02:00:00,2022/11/04 02:00:00
590395804,Mapple Queen,27,27,0,,0,27,0,0,0,,0,0,0,0,0,,27,90%,,0,0%,,2022/04/04 05:16:58,2022/09/04 20:22:49
598574668,DANTER,36,36,0,,0,30,6,0,0,,0,0,0,0,0,,48,160%,,0,0%,,2022/04/04 18:43:15,2022/09/04 18:39:48
426033209,G i g a,16,16,0,,0,10,6,0,0,,0,0,0,0,0,,28,93%,,0,0%,,2022/04/04 09:57:33,2022/09/04 12:49:10
611126445,MappleQueen,22,22,0,,0,15,6,1,0,,0,0,0,0,0,,39,130%,,0,0%,,2022/04/04 02:57:46,2022/09/04 05:23:19
569574920,P I N G O,11,11,0,,0,5,6,0,0,,0,0,0,0,0,,23,77%,,0,0%,,2022/04/04 06:51:05,2022/08/04 20:46:50
523079999,SaCnach,32,32,0,,0,32,0,0,0,,0,0,0,0,0,,32,107%,,0,0%,,2022/04/04 02:02:37,2022/09/04 19:07:12
797428833,Angell81,24,24,0,,0,24,0,0,0,,0,0,0,0,0,,24,80%,,0,0%,,2022/04/04 17:22:47,2022/09/04 13:49:01
664736234,ARROZ D0CE,6,6,0,,0,6,0,0,0,,0,0,0,0,0,,6,20%,,0,0%,,2022/04/04 15:39:39,2022/09/04 19:30:36
721468024,Barao Loko,32,32,0,,0,28,4,0,0,,0,0,0,0,0,,40,133%,,0,0%,,2022/04/04 12:30:51,2022/09/04 18:57:10
512968681,basties,32,32,0,,0,32,0,0,0,,0,0,0,0,0,,32,107%,,0,0%,,2022/04/04 06:18:13,2022/09/04 15:57:59
751959056,Bodinho,37,37,0,,0,36,1,0,0,,0,0,0,0,0,,39,130%,,0,0%,,2022/04/04 10:51:29,2022/09/04 20:06:56
669978253,COELHAOO,16,16,0,,0,11,5,0,0,,0,0,0,0,0,,26,87%,,0,0%,,2022/04/04 14:11:29,2022/08/04 13:37:44
334146397,Darce31,32,32,0,,0,26,6,0,0,,0,0,0,0,0,,44,147%,,0,0%,,2022/04/04 11:09:17,2022/09/04 17:53:28
534628169,Emersiq22,46,46,0,,0,36,10,0,0,,0,0,0,0,0,,66,220%,,0,0%,,2022/04/04 11:23:07,2022/09/04 09:48:38
635517371,Fur1ows,16,14,2,,0,6,8,0,0,,2,0,0,0,0,,30,100%,,2,4%,,2022/04/04 02:19:08,2022/09/04 07:31:42
714443547,GataSapeka,25,25,0,,0,20,4,1,0,,0,0,0,0,0,,38,127%,,0,0%,,2022/04/04 11:00:50,2022/09/04 10:16:25
519555716,H A N G,21,19,2,,0,11,8,0,0,,0,2,0,0,0,,35,117%,,4,8%,,2022/04/04 10:26:00,2022/09/04 18:31:04
418670141,Helimar,19,19,0,,0,18,1,0,0,,0,0,0,0,0,,21,70%,,0,0%,,2022/04/04 17:58:06,2022/09/04 19:19:48
587527756,Jailson39,27,27,0,,0,27,0,0,0,,0,0,0,0,0,,27,90%,,0,0%,,2022/04/04 11:01:33,2022/08/04 19:36:25
607096341,Katkarkle,23,23,0,,0,19,4,0,0,,0,0,0,0,0,,31,103%,,0,0%,,2022/04/04 21:13:52,2022/09/04 07:38:24
816974345,L E O  Bless,34,34,0,,0,32,2,0,0,,0,0,0,0,0,,38,127%,,0,0%,,2022/04/04 05:50:48,2022/09/04 08:42:17
568081137,Liaa M,30,30,0,,0,30,0,0,0,,0,0,0,0,0,,30,100%,,0,0%,,2022/04/04 02:49:48,2022/09/04 18:56:20
537809429,Manu Cat,27,27,0,,0,22,5,0,0,,0,0,0,0,0,,37,123%,,0,0%,,2022/04/04 10:45:05,2022/09/04 18:08:03
815520967,MBela,21,21,0,,0,21,0,0,0,,0,0,0,0,0,,21,70%,,0,0%,,2022/04/04 16:01:46,2022/09/04 12:30:54
567260536,Mister  Fr3d,23,23,0,,0,15,8,0,0,,0,0,0,0,0,,39,130%,,0,0%,,2022/04/04 06:00:44,2022/09/04 09:17:39
729409582,Next Big,36,36,0,,0,36,0,0,0,,0,0,0,0,0,,36,120%,,0,0%,,2022/04/04 11:19:29,2022/09/04 14:28:42
1038014893,oxentezinho,32,32,0,,0,32,0,0,0,,0,0,0,0,0,,32,107%,,0,0%,,2022/04/04 10:27:13,2022/09/04 13:04:02
546729363,Primowid,13,13,0,,0,6,6,1,0,,0,0,0,0,0,,30,100%,,0,0%,,2022/04/04 04:26:44,2022/09/04 06:06:17
740431400,Raposa Feroz,26,26,0,,0,21,4,1,0,,0,0,0,0,0,,39,130%,,0,0%,,2022/04/04 05:51:14,2022/09/04 05:58:32
736645319,ShyrMoon,37,37,0,,0,37,0,0,0,,0,0,0,0,0,,37,123%,,0,0%,,2022/04/04 07:34:49,2022/09/04 17:53:15
889624466,Sir Olivieri,16,16,0,,0,14,2,0,0,,0,0,0,0,0,,20,67%,,0,0%,,2022/04/04 10:04:43,2022/08/04 22:15:12
816979552,something01,20,20,0,,0,20,0,0,0,,0,0,0,0,0,,20,67%,,0,0%,,2022/04/04 20:17:43,2022/09/04 17:41:15
795541631,Spartan D22,28,28,0,,0,22,6,0,0,,0,0,0,0,0,,40,133%,,0,0%,,2022/04/04 20:30:37,2022/09/04 17:04:06
607848830,Sr Leloouch,14,10,4,,0,2,8,0,0,,4,0,0,0,0,,26,87%,,4,8%,,2022/05/04 18:38:39,2022/09/04 08:54:20
590361974,v POSEIDON v,26,26,0,,0,26,0,0,0,,0,0,0,0,0,,26,87%,,0,0%,,2022/04/04 10:03:02,2022/09/04 17:39:46
568404650,Vanp Return,78,75,3,,0,66,9,0,0,,0,3,0,0,0,,93,310%,,6,12%,,2022/04/04 05:32:17,2022/09/04 17:55:24
721804474,VirgulinoSFS,19,19,0,,0,14,5,0,0,,0,0,0,0,0,,29,97%,,0,0%,,2022/04/04 11:33:14,2022/08/04 23:29:20
531491779,WagnerB,16,12,4,,0,4,8,0,0,,2,2,0,0,0,,28,93%,,6,12%,,2022/04/04 21:13:04,2022/09/04 14:44:41
784187291,xTiao,28,28,0,,0,28,0,0,0,,0,0,0,0,0,,28,93%,,0,0%,,2022/04/04 03:39:37,2022/09/04 17:48:58
610438929,Yatsu,27,27,0,,0,27,0,0,0,,0,0,0,0,0,,27,90%,,0,0%,,2022/04/04 19:48:51,2022/09/04 16:20:32
653066749,Yunmmy,21,21,0,,0,21,0,0,0,,0,0,0,0,0,,21,70%,,0,0%,,2022/04/04 05:08:11,2022/09/04 10:48:22
676916181,zerotroops00,30,30,0,,0,28,2,0,0,,0,0,0,0,0,,34,113%,,0,0%,,2022/04/04 13:05:04,2022/09/04 17:30:17
838529829,BabyMaldito,15,15,0,,0,15,0,0,0,,0,0,0,0,0,,15,50%,,0,0%,,2022/04/04 21:18:25,2022/09/04 09:49:13
572975859,BESC,14,14,0,,0,14,0,0,0,,0,0,0,0,0,,14,47%,,0,0%,,2022/04/04 02:59:37,2022/09/04 19:41:22
352436039,BIGBROSS JS,37,37,0,,0,34,3,0,0,,0,0,0,0,0,,43,143%,,0,0%,,2022/04/04 03:19:58,2022/09/04 17:07:52
643122226,Bolo de fuba,28,28,0,,0,28,0,0,0,,0,0,0,0,0,,28,93%,,0,0%,,2022/04/04 03:04:43,2022/09/04 17:38:39
466718493,BoloD Ameixa,64,64,0,,0,64,0,0,0,,0,0,0,0,0,,64,213%,,0,0%,,2022/04/04 03:21:04,2022/09/04 18:41:17
619981616,BoloDMorango,22,22,0,,0,22,0,0,0,,0,0,0,0,0,,22,73%,,0,0%,,2022/04/04 04:25:14,2022/09/04 19:32:06
727619698,Cao  Miudo,33,33,0,,0,33,0,0,0,,0,0,0,0,0,,33,110%,,0,0%,,2022/04/04 12:07:46,2022/09/04 19:10:12
677258514,Edu0686,26,26,0,,0,26,0,0,0,,0,0,0,0,0,,26,87%,,0,0%,,2022/04/04 13:20:17,2022/09/04 17:17:42
676554628,EL Maulaz,17,17,0,,0,13,4,0,0,,0,0,0,0,0,,25,83%,,0,0%,,2022/04/04 07:27:03,2022/09/04 17:01:05
544335528,Ellemy,34,34,0,,0,34,0,0,0,,0,0,0,0,0,,34,113%,,0,0%,,2022/04/04 02:04:23,2022/09/04 18:56:52
815484616,Empadinha,18,18,0,,0,18,0,0,0,,0,0,0,0,0,,18,60%,,0,0%,,2022/04/04 08:09:22,2022/09/04 14:58:54
649342095,Esfiha,31,31,0,,0,31,0,0,0,,0,0,0,0,0,,31,103%,,0,0%,,2022/04/04 04:43:43,2022/09/04 17:25:10
579620641,Eterno Jarem,23,22,1,,0,22,0,0,0,,1,0,0,0,0,,22,73%,,1,2%,,2022/04/04 09:50:10,2022/09/04 10:19:39
582150820,Everlle,33,33,0,,0,33,0,0,0,,0,0,0,0,0,,33,110%,,0,0%,,2022/04/04 04:32:26,2022/09/04 20:31:39
596647206,F A R I A,35,35,0,,0,35,0,0,0,,0,0,0,0,0,,35,117%,,0,0%,,2022/04/04 04:39:09,2022/09/04 18:56:49
815818207,Fabriciowid,13,13,0,,0,6,6,1,0,,0,0,0,0,0,,30,100%,,0,0%,,2022/04/04 13:29:16,2022/09/04 13:12:24
556193380,Foquiinha,26,26,0,,0,25,1,0,0,,0,0,0,0,0,,28,93%,,0,0%,,2022/04/04 19:17:07,2022/09/04 18:22:02
465109586,Forginha,22,18,4,,0,9,9,0,0,,2,2,0,0,0,,36,120%,,6,12%,,2022/05/04 19:12:29,2022/09/04 14:18:08
1242434153,Gatiim,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0%,,0,0%,,0001/01/01 00:00:00,0001/01/01 00:00:00
723196364,Goiabada,25,25,0,,0,25,0,0,0,,0,0,0,0,0,,25,83%,,0,0%,,2022/04/04 11:59:45,2022/09/04 16:39:12
609827056,Hanabi s2,42,42,0,,0,42,0,0,0,,0,0,0,0,0,,42,140%,,0,0%,,2022/04/04 05:02:54,2022/09/04 20:03:41
465093346,Kyuppi,42,42,0,,0,42,0,0,0,,0,0,0,0,0,,42,140%,,0,0%,,2022/04/04 02:02:18,2022/09/04 20:01:16
815731347,l someone l,16,16,0,,0,16,0,0,0,,0,0,0,0,0,,16,53%,,0,0%,,2022/04/04 20:32:31,2022/09/04 17:54:49
843000583,LaCreme,17,17,0,,0,17,0,0,0,,0,0,0,0,0,,17,57%,,0,0%,,2022/04/04 05:19:41,2022/09/04 15:36:38
891086223,LeoPaiDoIsac,28,28,0,,0,28,0,0,0,,0,0,0,0,0,,28,93%,,0,0%,,2022/04/04 07:18:19,2022/09/04 18:20:59
891332031,Luryos,30,30,0,,0,30,0,0,0,,0,0,0,0,0,,30,100%,,0,0%,,2022/04/04 02:44:44,2022/09/04 20:09:59
568081685,Malyssa,36,36,0,,0,36,0,0,0,,0,0,0,0,0,,36,120%,,0,0%,,2022/04/04 04:48:03,2022/09/04 20:05:44
439440906,Megiitsune,34,34,0,,0,34,0,0,0,,0,0,0,0,0,,34,113%,,0,0%,,2022/04/04 03:47:25,2022/09/04 19:21:19
689039785,Melanccia,38,38,0,,0,38,0,0,0,,0,0,0,0,0,,38,127%,,0,0%,,2022/04/04 02:03:52,2022/09/04 17:42:32
712660358,Meruen2,43,43,0,,0,43,0,0,0,,0,0,0,0,0,,43,143%,,0,0%,,2022/04/04 02:22:57,2022/09/04 17:40:51
598760245,Monster LM,26,26,0,,0,26,0,0,0,,0,0,0,0,0,,26,87%,,0,0%,,2022/04/04 17:37:49,2022/09/04 16:08:45
609887031,Nayumy,29,29,0,,0,29,0,0,0,,0,0,0,0,0,,29,97%,,0,0%,,2022/04/04 02:04:18,2022/09/04 20:03:09
529967155,NMStones,14,14,0,,0,14,0,0,0,,0,0,0,0,0,,14,47%,,0,0%,,2022/04/04 06:16:44,2022/09/04 17:22:34
650018593,Nubank Giga,13,13,0,,0,9,4,0,0,,0,0,0,0,0,,21,70%,,0,0%,,2022/05/04 23:03:33,2022/09/04 10:42:38
731072117,o Cuscuz,15,15,0,,0,15,0,0,0,,0,0,0,0,0,,15,50%,,0,0%,,2022/04/04 18:31:49,2022/09/04 18:07:25
623015849,Odin  Ragnar,19,19,0,,0,19,0,0,0,,0,0,0,0,0,,19,63%,,0,0%,,2022/04/04 21:36:07,2022/09/04 13:36:01
547051721,Pamonha V,26,26,0,,0,22,4,0,0,,0,0,0,0,0,,34,113%,,0,0%,,2022/04/04 07:27:37,2022/09/04 19:36:34
967686710,PocoUsa,12,12,0,,0,10,2,0,0,,0,0,0,0,0,,16,53%,,0,0%,,2022/04/04 10:52:43,2022/09/04 19:21:34
471654581,Polvilho,31,31,0,,0,31,0,0,0,,0,0,0,0,0,,31,103%,,0,0%,,2022/04/04 05:31:37,2022/09/04 18:56:50
568231312,Shieppe,33,33,0,,0,33,0,0,0,,0,0,0,0,0,,33,110%,,0,0%,,2022/04/04 03:27:55,2022/09/04 20:37:44
580354505,Siqueiraa,18,18,0,,0,18,0,0,0,,0,0,0,0,0,,18,60%,,0,0%,,2022/04/04 21:49:53,2022/09/04 10:14:47
457348159,Sonseriine,31,31,0,,0,31,0,0,0,,0,0,0,0,0,,31,103%,,0,0%,,2022/04/04 02:03:02,2022/09/04 20:14:58
664170852,SPa NuBank,21,21,0,,0,21,0,0,0,,0,0,0,0,0,,21,70%,,0,0%,,2022/04/04 13:21:21,2022/09/04 18:25:38
759230522,SugarWeide,31,31,0,,0,31,0,0,0,,0,0,0,0,0,,31,103%,,0,0%,,2022/04/04 08:59:50,2022/09/04 16:11:49
691262844,SugarWeige,13,13,0,,0,1,12,0,0,,0,0,0,0,0,,37,123%,,0,0%,,2022/04/04 08:29:18,2022/09/04 18:43:22
659010473,Tapiioca,30,30,0,,0,30,0,0,0,,0,0,0,0,0,,30,100%,,0,0%,,2022/04/04 02:06:17,2022/09/04 18:47:54
1241987627,Trufinha,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0%,,0,0%,,0001/01/01 00:00:00,0001/01/01 00:00:00
600653385,Vanelloppe,39,39,0,,0,38,1,0,0,,0,0,0,0,0,,41,137%,,0,0%,,2022/04/04 02:32:09,2022/09/04 20:34:47
581606966,w Daenerys w,46,46,0,,0,46,0,0,0,,0,0,0,0,0,,46,153%,,0,0%,,2022/04/04 02:41:46,2022/09/04 18:51:48
693916035,xJINJER,33,33,0,,0,33,0,0,0,,0,0,0,0,0,,33,110%,,0,0%,,2022/04/04 02:37:24,2022/09/04 20:16:03
563912564,XL Condosele,33,33,0,,0,33,0,0,0,,0,0,0,0,0,,33,110%,,0,0%,,2022/04/04 02:56:00,2022/09/04 17:29:14
594868405,xNEMESIS,1,1,0,,0,1,0,0,0,,0,0,0,0,0,,1,3%,,0,0%,,2022/09/04 11:04:06,2022/09/04 11:04:06
580266194,a Merlin,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0%,,0,0%,,0001/01/01 00:00:00,0001/01/01 00:00:00
702387686,Coxiinha,24,24,0,,0,24,0,0,0,,0,0,0,0,0,,24,80%,,0,0%,,2022/04/04 09:31:45,2022/09/04 19:05:21
757103940,DarkLoko,10,10,0,,0,4,5,1,0,,0,0,0,0,0,,25,83%,,0,0%,,2022/04/04 23:52:32,2022/08/04 07:54:09
610375263,Kuruyami LM,2,2,0,,0,2,0,0,0,,0,0,0,0,0,,2,7%,,0,0%,,2022/05/04 10:12:53,2022/06/04 20:04:58
0,Anonymous,15,0,15,,0,0,0,0,0,,12,3,0,0,0,,0,0%,,18,36%,,2022/04/04 03:53:19,2022/09/04 06:14:07
615220774,Marcelline,22,22,0,,0,18,4,0,0,,0,0,0,0,0,,30,100%,,0,0%,,2022/04/04 04:29:21,2022/05/04 23:12:02
610617121,VinO 91,16,16,0,,0,16,0,0,0,,0,0,0,0,0,,16,53%,,0,0%,,2022/04/04 18:21:14,2022/08/04 17:58:23